analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,16.14757381468485,0.0028274014342911,26.252836972579587,11.964351035528146,0.0025233307656835,0.0019691226260457,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,8,nucleus_collider,1,5,14.8131848689791,0.0006072363707864126,28.146518202312432,13.858032265260992,0.000978963565042407,0.0007639503041834577,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,23.832080643712903,8.630954640942434e-05,33.93734380160764,19.6488578645562,5.411338815131793e-05,4.2228271628072366e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,10,independent,3,3,30.049582393061623,3.846438456589496e-05,37.24958239306162,22.961096456010186,1.03290708255212e-05,8.060460144650614e-06,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.4877937509555908,0.7835684352170074,13.821127084288923,0.0,1.0,0.8334666727114021,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,2,cell_collider,1,5,4.367547916648645,0.1126157206149327,17.700881249981975,3.879754165693052,0.1437216145437816,0.1197871758705163,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,3,iod_bridge,1,5,7.555447413671954,0.0228747017344667,20.888780747005285,7.067653662716362,0.0291929852025389,0.0243313802432733,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,4,iod_cell_only,2,4,11.9229953303206,0.0179331731588264,22.028258488215336,8.207131403926413,0.0165136874098437,0.0137636080996786,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,5,iod_collider,1,5,10.586910838387755,0.0050243689289919,23.920244171721087,10.099117087432164,0.006412163511411,0.0053443245867372,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,12.721757729625276,0.0017278474999946,26.05509106295861,12.233963978669689,0.0022051009488611,0.00183787815084,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,17.08930564627392,0.0018572251885503,27.194568804168657,13.373441719879734,0.0012473663629807,0.0010396382922057,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,8,nucleus_collider,1,5,15.86928225738977,0.00035812046681094056,29.202615590723106,15.38148850643418,0.0004570378932017258,0.0003809258521498715,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,23.424729671061726,0.0001041384070461504,33.529992828956466,19.70886574466754,5.251388892856975e-05,4.376857627643116e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0010,focal_primary,lambda,,,24,10,independent,3,3,30.82374101242617,2.7390833498341927e-05,38.02374101242617,24.202613928137247,5.552251903791732e-06,4.627616920308842e-06,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0011,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.9507478547577248,0.621652560086992,14.284081188091058,0.0,1.0,0.7930740547946796,True,True,True,5,1,relative_nuclear_iod_index; not_absolute_genome_size
