species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
intermedius,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),45.5544,44,2,2,median among manual keeps
intermedius,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.1542725,44,2,2,median among manual keeps
kanawha,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),249.1344,50,2,2,median among frozen composite top 50
kanawha,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),40.5432,50,2,2,median among frozen composite top 50
kanawha,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1615,50,2,2,median among frozen composite top 50
kanawha,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),254.4408,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
kanawha,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),40.5432,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
kanawha,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.1577155,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
kanawha,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),263.7432,50,2,2,median among literal largest 50
kanawha,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),41.6016,50,2,2,median among literal largest 50
kanawha,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.155799,50,2,2,median among literal largest 50
kanawha,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),252.3672,100,2,2,median among literal largest 100
kanawha,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),40.9464,100,2,2,median among literal largest 100
kanawha,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1603185,100,2,2,median among literal largest 100
kanawha,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),218.232,287,2,2,median among all eligible candidates
kanawha,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),40.9104,287,2,2,median among all eligible candidates
kanawha,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.185862,287,2,2,median among all eligible candidates
kanawha,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),265.0032,20,2,2,median among manual keeps
kanawha,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),41.7024,20,2,2,median among manual keeps
kanawha,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.1579635,20,2,2,median among manual keeps
marmoratus,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),261.0504,50,2,2,median among frozen composite top 50
